0:0:0:0:0:0:0:1 - - [02/Feb/2022:16:12:01 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [02/Feb/2022:16:12:01 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [02/Feb/2022:16:12:01 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [02/Feb/2022:16:12:02 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [02/Feb/2022:16:12:02 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [02/Feb/2022:16:12:02 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [02/Feb/2022:16:12:02 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [02/Feb/2022:16:12:02 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [02/Feb/2022:16:12:03 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [02/Feb/2022:16:12:03 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [02/Feb/2022:16:12:03 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [02/Feb/2022:16:12:05 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [02/Feb/2022:16:12:09 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 125
